word,count
aline,1
hoffmann,1
passamani,1
sobre,1
mim,1
img,1
width,1
moro,1
fundo,1
brasil,1
curso,1
o,1
quarto,1
semestre,1
ciência,1
da,1
computação,1
na,1
educação,1
experiência,1
web,1
frontend,1
sprints,1
olá,1
srcfotoreadjpg,1
alignright,1
passo,1
rs,1
graduada,1
direito,1
e,1
atualmente,1
de,1
atitus,1
tenho,1
desenvolvimento,1
